"Core (view column details
)",,,,,,,Timestamps (view column details),,,,,,User (view column details),,,,,Session (view column details),,Event (view column details),,,,,,,Event specific fields (view column details),,,Application (view column details),,Useragent (view column details),,,,,,,,Location (view column details),,,,,,,,Marketing (view column details),,,,,,,Page (view column details),,,,,,,,,,Referer (view column details),,,,,,,,,,Cross domain referer (view column details),,Visibility (view column details),,,,,,Scroll depth (view column details),,,,Meta data (view column details),,,
2020-04-01 10:12:14,page_view,e39fd884-8992-480f-8e37-…,67,New York,console,/4d9aac25-a9f7-46d2-8b4f…,2020-04-01 10:12:14,2020-04-01 10:12:14,2020-04-01 10:12:14,2020-04-01 10:12:14,2020-04-01 10:12:14,,example-user@company.com,e39fd884-8992-480f-8e37-…,4b82d683-813b-4969-a4ae-…,138.68.41.XX,1909c6c61de7e28a236e2be1…,7f0a23a5-e392-48d2-b37b-…,67,762c6dbf-5e77-4d4a-8f85-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,107d25f34ab534790bc3e87c…,,,,console,web,Mozilla/5.0 (X11; Linux …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,NY,New York,New York,10021,40.77,-73.96,America/New_York,,,,,,,,f2a7f2a4-b2ca-4080-83ef-…,https://console.snowplow…,Snowplow BDP,https,443,snowplowanalytics.com,/4d9aac25-a9f7-46d2-8b4f…,,,{ “connectEnd”…,https://console.snowplow…,https,443,snowplowanalytics.com,/,,,internal,,,,,1004,632,1024,768,989,1247,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:12:23,page_ping,e39fd884-8992-480f-8e37-…,67,New York,console,/4d9aac25-a9f7-46d2-8b4f…,2020-04-01 10:12:23,2020-04-01 10:12:23,2020-04-01 10:12:23,2020-04-01 10:12:23,2020-04-01 10:12:24,,example-user@company.com,e39fd884-8992-480f-8e37-…,4b82d683-813b-4969-a4ae-…,138.68.41.XX,1909c6c61de7e28a236e2be1…,7f0a23a5-e392-48d2-b37b-…,67,7dbcee9d-dd9d-42eb-869f-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,de13793c3331dc6e788fefe5…,,,,console,web,Mozilla/5.0 (X11; Linux …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,NY,New York,New York,10021,40.77,-73.96,America/New_York,,,,,,,,f2a7f2a4-b2ca-4080-83ef-…,https://console.snowplow…,Snowplow BDP,https,443,snowplowanalytics.com,/4d9aac25-a9f7-46d2-8b4f…,,,{ “connectEnd”…,https://console.snowplow…,https,443,snowplowanalytics.com,/,,,internal,,,,,1004,632,1024,768,989,1247,0,0,0,212,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:14:55,page_view,eb8c2f9b-8357-4e01-84e9-…,3,Berlin,website,/blog/2020/02/04/buildin…,2020-04-01 10:14:55,2020-04-01 10:14:55,2020-04-01 10:14:55,2020-04-01 10:14:55,2020-04-01 10:14:56,,,eb8c2f9b-8357-4e01-84e9-…,f4605d71-c3cd-4dc3-962c-…,2.205.35.XX,02ce405d4306f908ec92a203…,b23a6994-9520-4347-b1c7-…,3,c1c7d273-f17e-4fe4-8a7b-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,9060ad795ea9cafb72fad4bc…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,de-DE,TRUE,24,UTF-8,DE,BE,Land Berlin,Berlin,10365,52.42,13.28,Europe/Berlin,paid-search,google,,,data-quality,,EAIaIQobChMIwPu5t4qs1AIV…,a2cf571d-f302-44b2-8fb7-…,https://snowplowanalytic…,Building a data quality …,https,443,snowplowanalytics.com,/blog/2020/02/04/buildin…,utm_campaign=data-qualit…,,{ “connectEnd”…,https://www.google.com/u…,https,443,google.com,/url,sa=t&rct=j&q=&esrc=s&sou…,,search,Google,,,,1510,823,1680,1050,1510,4598,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:15:06,page_ping,eb8c2f9b-8357-4e01-84e9-…,3,Berlin,website,/blog/2020/02/04/buildin…,2020-04-01 10:15:06,2020-04-01 10:15:06,2020-04-01 10:15:06,2020-04-01 10:15:06,2020-04-01 10:15:07,,,eb8c2f9b-8357-4e01-84e9-…,f4605d71-c3cd-4dc3-962c-…,2.205.35.XX,02ce405d4306f908ec92a203…,b23a6994-9520-4347-b1c7-…,3,f04a14bc-57d1-4e54-9a60-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,f4fa7fd92a3918fec602d746…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,de-DE,TRUE,24,UTF-8,DE,BE,Land Berlin,Berlin,10365,52.42,13.28,Europe/Berlin,,,,,,,,a2cf571d-f302-44b2-8fb7-…,https://snowplowanalytic…,Building a data quality …,https,443,snowplowanalytics.com,/blog/2020/02/04/buildin…,utm_campaign=data-qualit…,,{ “connectEnd”…,https://www.google.com/u…,https,443,google.com,/url,sa=t&rct=j&q=&esrc=s&sou…,,search,Google,,,,1510,823,1680,1050,1510,4598,0,0,0,2765,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:15:12,link_click,eb8c2f9b-8357-4e01-84e9-…,3,Berlin,website,/blog/2020/02/04/buildin…,2020-04-01 10:15:12,2020-04-01 10:15:12,2020-04-01 10:15:12,2020-04-01 10:15:12,2020-04-01 10:15:14,,,eb8c2f9b-8357-4e01-84e9-…,f4605d71-c3cd-4dc3-962c-…,2.205.35.XX,02ce405d4306f908ec92a203…,b23a6994-9520-4347-b1c7-…,3,d8d87e18-1b96-404e-ab2b-…,unstruct,link_click,com.snowplowanalytics.sn…,jsonschema,1-0-1,cd838deb98a6daad5ecd5a45…,{“targetUrl”:&…,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,de-DE,TRUE,24,UTF-8,DE,BE,Land Berlin,Berlin,10365,52.42,13.28,Europe/Berlin,,,,,,,,a2cf571d-f302-44b2-8fb7-…,https://snowplowanalytic…,,https,443,snowplowanalytics.com,/blog/2020/02/04/buildin…,utm_campaign=data-qualit…,,{ “connectEnd”…,https://www.google.com/u…,https,443,google.com,/url,sa=t&rct=j&q=&esrc=s&sou…,,search,Google,,,,1510,823,1680,1050,1510,4598,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:15:14,page_view,eb8c2f9b-8357-4e01-84e9-…,3,Berlin,website,/snowplow-bdp/,2020-04-01 10:15:14,2020-04-01 10:15:14,2020-04-01 10:15:14,2020-04-01 10:15:14,2020-04-01 10:15:14,,,eb8c2f9b-8357-4e01-84e9-…,f4605d71-c3cd-4dc3-962c-…,2.205.35.XX,02ce405d4306f908ec92a203…,b23a6994-9520-4347-b1c7-…,3,672b860e-4acd-4b26-8431-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,30b5475a947ea3854a193683…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,de-DE,TRUE,24,UTF-8,DE,BE,Land Berlin,Berlin,10365,52.42,13.28,Europe/Berlin,,,,,,,,f21a1070-a32e-4fe2-a3e4-…,https://snowplowanalytic…,"Snowplow
BDP | A Da…",https,443,snowplowanalytics.com,/snowplow-bdp/,,,{ “connectEnd”…,https://snowplowanalytic…,https,443,snowplowanalytics.com,/blog/2020/02/04/buildin…,utm_campaign=data-qualit…,,internal,,,,,1510,823,1680,1050,1510,4271,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:15:26,page_ping,eb8c2f9b-8357-4e01-84e9-…,3,Berlin,website,/snowplow-bdp/,2020-04-01 10:15:26,2020-04-01 10:15:25,2020-04-01 10:15:25,2020-04-01 10:15:26,2020-04-01 10:15:26,,,eb8c2f9b-8357-4e01-84e9-…,f4605d71-c3cd-4dc3-962c-…,2.205.35.XX,02ce405d4306f908ec92a203…,b23a6994-9520-4347-b1c7-…,3,59a50124-5679-4d1b-81e5-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,493e7305d333e63a220276ee…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,de-DE,TRUE,24,UTF-8,DE,BE,Land Berlin,Berlin,10365,52.42,13.28,Europe/Berlin,,,,,,,,f21a1070-a32e-4fe2-a3e4-…,https://snowplowanalytic…,"Snowplow
BDP | A Da…",https,443,snowplowanalytics.com,/snowplow-bdp/,,,{ “connectEnd”…,https://snowplowanalytic…,https,443,snowplowanalytics.com,/blog/2020/02/04/buildin…,utm_campaign=data-qualit…,,internal,,,,,1510,823,1680,1050,1510,4271,0,0,0,3448,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:29:59,page_view,f729daad-549e-4a0a-ae1c-…,1,Austin,website,/mobile/,2020-04-01 10:29:59,2020-04-01 10:29:59,2020-04-01 10:29:59,2020-04-01 10:29:59,2020-04-01 10:30:00,,,f729daad-549e-4a0a-ae1c-…,c27d4731-1a2f-495b-9615-…,207.91.133.XX,d45d08868bf4179dc19e14c6…,c9a528c2-72ae-458a-9e05-…,1,cd77b968-3fee-44f1-aded-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,414220315c974519ea8e65f6…,,,,website,web,Mozilla/5.0 (iPhone; CPU…,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,FALSE,32,UTF-8,US,TX,Texas,Austin,78702,30.21,97.69,America/Chicago,paid-social,linkedin,,,mobile,,,bfc3c5bb-ae3e-477c-b47d-…,https://snowplowanalytic…,"Snowplow | Collect rich
…",https,443,snowplowanalytics.com,/mobile/,utm_campaign=mobile&utm_…,,{ “connectEnd”…,https://www.linkedin.com…,https,443,linkedin.com,/,,,social,Linkedin,,,,375,554,375,667,375,9322,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:30:00,link_click,e39fd884-8992-480f-8e37-…,67,New York,console,/4d9aac25-a9f7-46d2-8b4f…,2020-04-01 10:30:00,2020-04-01 10:31:00,2020-04-01 10:31:00,2020-04-01 10:30:00,2020-04-01 10:30:01,,example-user@company.com,e39fd884-8992-480f-8e37-…,4b82d683-813b-4969-a4ae-…,138.68.41.XX,1909c6c61de7e28a236e2be1…,7f0a23a5-e392-48d2-b37b-…,67,0fa850fd-4c2c-46f9-8286-…,unstruct,link_click,com.snowplowanalytics.sn…,jsonschema,1-0-1,8d068a2b2de42396525b056d…,{“targetUrl”:&…,,,console,web,Mozilla/5.0 (X11; Linux …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,NY,New York,New York,10021,40.77,-73.96,America/New_York,,,,,,,,f2a7f2a4-b2ca-4080-83ef-…,https://console.snowplow…,,https,443,snowplowanalytics.com,/4d9aac25-a9f7-46d2-8b4f…,,,{ “connectEnd”…,https://console.snowplow…,https,443,snowplowanalytics.com,/,,,internal,,,,,1004,632,1024,768,989,1247,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:30:07,link_click,f729daad-549e-4a0a-ae1c-…,1,Austin,website,/mobile/,2020-04-01 10:30:07,2020-04-01 10:30:07,2020-04-01 10:30:07,2020-04-01 10:30:07,2020-04-01 10:30:08,,,f729daad-549e-4a0a-ae1c-…,c27d4731-1a2f-495b-9615-…,207.91.133.XX,d45d08868bf4179dc19e14c6…,c9a528c2-72ae-458a-9e05-…,1,61b65433-6865-4026-8a60-…,unstruct,link_click,com.snowplowanalytics.sn…,jsonschema,1-0-1,7d42a8b8ead9234de7eb1d6f…,{“targetUrl”:&…,,,website,web,Mozilla/5.0 (iPhone; CPU…,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,FALSE,32,UTF-8,US,TX,Texas,Austin,78702,30.21,97.69,America/Chicago,,,,,,,,bfc3c5bb-ae3e-477c-b47d-…,https://snowplowanalytic…,,https,443,snowplowanalytics.com,/mobile/,utm_campaign=mobile&utm_…,,{ “connectEnd”…,https://www.linkedin.com…,https,443,linkedin.com,/,,,social,Linkedin,,,,375,554,375,667,375,9322,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:30:10,page_view,f729daad-549e-4a0a-ae1c-…,1,Austin,website,/customers/,2020-04-01 10:30:10,2020-04-01 10:30:10,2020-04-01 10:30:10,2020-04-01 10:30:10,2020-04-01 10:30:11,,,f729daad-549e-4a0a-ae1c-…,c27d4731-1a2f-495b-9615-…,207.91.133.XX,d45d08868bf4179dc19e14c6…,c9a528c2-72ae-458a-9e05-…,1,3cc458cd-a1be-4a57-a3a2-…,page_view,page_view,com.snowplowanalytics.sn…,jsonschema,1-0-0,505dd37437be902cc6e416f8…,,,,website,web,Mozilla/5.0 (iPhone; CPU…,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,FALSE,32,UTF-8,US,TX,Texas,Austin,78702,30.21,97.69,America/Chicago,,,,,,,,e55cf2ba-b986-48e1-bdad-…,https://snowplowanalytic…,"Snowplow Customers |
Her…",https,443,snowplowanalytics.com,/customers/,,,{ “connectEnd”…,https://snowplowanalytic…,https,443,snowplowanalytics.com,/,utm_campaign=mobile&utm_…,,internal,,,,,375,554,375,667,375,6444,,,,,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
2020-04-01 10:42:28,page_ping,be5016ad-c6ef-442d-aa18-…,5,San Francisco,website,/snowplow-bdp/,2020-04-01 10:42:28,2020-04-01 10:42:28,2020-04-01 10:42:28,2020-04-01 10:42:28,2020-04-01 10:42:30,,,be5016ad-c6ef-442d-aa18-…,28172b1a-96aa-4fe2-a4e3-…,192.171.81.XX,76d5cf8dfb94371b9a29393b…,86e9281f-8a12-4fa1-b761-…,5,f0a9711b-0461-49ac-a910-…,page_ping,page_ping,com.snowplowanalytics.sn…,jsonschema,1-0-0,6d801142f54baa80488ee585…,,,,website,web,Mozilla/5.0 (Macintosh; …,{“useragent_family&…,{ “agentClass”…,{ “category”:…,en-US,TRUE,24,UTF-8,US,CA,California,San Francisco,94102,37.78,-122.42,America/Los_Angeles,,,,,,,,08e14838-2c28-4529-acc4-…,https://snowplowanalytic…,"Snowplow
BDP | A Da…",https,443,snowplowanalytics.com,/snowplow-bdp/,,,{ “connectEnd”…,https://snowplowanalytic…,https,443,snowplowanalytics.com,/,,,internal,,,,,1678,892,1680,1050,1678,4672,0,0,0,3780,js-2.14.0,snplow,ssc-0.17.0-kinesis,stream-enrich-0.22.0-com…
